"playerID","tmID","GP","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","center","forward","guard","allstar","minutesPerGame","pointsPerGame","assistsPerGame","oReboundsPerGame","dReboundsPerGame","reboundsPerGame","stealsPerGame","blocksPerGame","turnoversPerGame","fgAttemptedPerGame","fgMadePerGame","ftAttemptedPerGame","ftMadePerGame","threeAttemptedPerGame","threeMadePerGame","GPRatio","healthy","lgPoints","lgAssists","lgRebounds","lgDRebounds","lgORebounds","tmPoints","tmAssists","tmRebounds","tmDRebounds","tmORebounds","ftPct","fgPct","threePct","efgPct","astTovRatio","dReboundPct","oReboundPct","totalGameScore","avgGameScore"
"Danuel House","HOU",39,979,366,25,115,140,40,21,11,35,80,252,118,71,56,178,74,0,1,0,0,25.1025641025641,9.38461538461539,1.02564102564103,0.641025641025641,2.94871794871795,3.58974358974359,0.538461538461538,0.282051282051282,0.897435897435897,6.46153846153846,3.02564102564103,1.82051282051282,1.43589743589744,4.56410256410256,1.8974358974359,0.475609756097561,0,0.0011714624075793,0.000586527464148509,0.00109780673896508,0.00116760752142306,0.00086102979163079,0.0391821004175142,0.0229753015508329,0.0405914757900841,0.0440107156525067,0.0299043062200957,0.788732394366197,0.468253968253968,0.415730337078652,0.615079365079365,1.14285714285714,0.821428571428571,0.178571428571429,302.1,7.74615384615385
"Dwight Howard","WAS",9,230,115,24,59,83,4,7,4,16,34,69,43,48,29,0,0,1,0,0,0,25.5555555555556,12.7777777777778,0.444444444444444,2.66666666666667,6.55555555555556,9.22222222222222,0.777777777777778,0.444444444444444,1.77777777777778,7.66666666666667,4.77777777777778,5.33333333333333,3.22222222222222,0,0,0.109756097560976,0,0.000368082450468905,5.86527464148509e-05,0.000650842566672156,0.000599033424034439,0.000826588599965559,0.0122994652406417,0.00185701021355617,0.0238986467031385,0.0220231429637925,0.0302267002518892,0.604166666666667,0.623188405797101,0,0.623188405797101,0.25,0.710843373493976,0.289156626506024,93.8,10.4222222222222
"Kevin Huerter","ATL",75,2048,727,60,185,245,214,65,25,109,155,657,275,56,41,353,136,0,0,1,0,27.3066666666667,9.69333333333333,2.85333333333333,0.8,2.46666666666667,3.26666666666667,0.866666666666667,0.333333333333333,1.45333333333333,8.76,3.66666666666667,0.746666666666667,0.546666666666667,4.70666666666667,1.81333333333333,0.914634146341463,1,0.0023269212303556,0.00313792193319452,0.00192116179318889,0.00187832514315884,0.0020664714999139,0.0782225091456854,0.101038715769594,0.0648148148148148,0.0654867256637168,0.06282722513089,0.732142857142857,0.418569254185693,0.385269121813031,0.5220700152207,1.96330275229358,0.755102040816326,0.244897959183673,584.3,7.79066666666667
"Isaac Humphries","ATL",5,56,15,4,7,11,0,1,0,0,7,21,6,0,0,11,3,1,0,0,0,11.2,3,0,0.8,1.4,2.2,0.2,0,0,4.2,1.2,0,0,2.2,0.6,0.0609756097560976,0,4.80107544089876e-05,0,8.62562437758279e-05,7.10717621735775e-05,0.000137764766660926,0.00161394448030988,0,0.00291005291005291,0.00247787610619469,0.00418848167539267,NA,0.285714285714286,0.272727272727273,0.357142857142857,0,0.636363636363636,0.363636363636364,7,1.4
"R.J. Hunter","BOS",1,26,17,1,2,3,3,1,0,0,3,13,6,2,1,10,4,0,0,1,0,26,17,3,1,2,3,1,0,0,13,6,2,1,10,4,0.0121951219512195,0,5.4412188330186e-05,4.39895598111382e-05,2.35244301206803e-05,2.03062177638793e-05,3.44411916652316e-05,0.00184461805555556,0.00139211136890951,0.000821242814125376,0.000702000702000702,0.00124378109452736,0.5,0.461538461538462,0.4,0.615384615384615,0,0.666666666666667,0.333333333333333,14.7,14.7
"Chandler Hutchison","CHI",44,895,229,31,154,185,34,23,6,25,59,209,96,38,23,50,14,0,1,0,0,20.3409090909091,5.20454545454545,0.772727272727273,0.704545454545455,3.5,4.20454545454545,0.522727272727273,0.136363636363636,0.568181818181818,4.75,2.18181818181818,0.863636363636364,0.522727272727273,1.13636363636364,0.318181818181818,0.536585365853659,0,0.000732964183977211,0.000498548344526232,0.00145067319077529,0.00156357876781871,0.00106767694162218,0.0266124346310285,0.0189309576837416,0.0526016491327836,0.0550196498749553,0.0431754874651811,0.605263157894737,0.45933014354067,0.28,0.492822966507177,1.36,0.832432432432432,0.167567567567568,191,4.34090909090909
"Serge Ibaka","TOR",74,2010,1112,156,445,601,99,29,103,114,211,877,464,177,135,169,49,1,0,0,0,27.1621621621622,15.027027027027,1.33783783783784,2.10810810810811,6.01351351351351,8.12162162162162,0.391891891891892,1.39189189189189,1.54054054054054,11.8513513513514,6.27027027027027,2.39189189189189,1.82432432432432,2.28378378378378,0.662162162162162,0.902439024390244,1,0.00355919726018628,0.00145165547376756,0.00471272750084296,0.00451813345246314,0.00537282589977613,0.11849957374254,0.0474820143884892,0.162169454937938,0.152397260273973,0.198473282442748,0.76271186440678,0.529076396807298,0.289940828402367,0.557012542759407,0.868421052631579,0.740432612312812,0.259567387687188,901.2,12.1783783783784
"Andre Iguodala","GSW",68,1578,389,48,204,252,216,61,51,52,95,302,151,67,39,144,48,0,1,0,0,23.2058823529412,5.72058823529412,3.17647058823529,0.705882352941177,3,3.70588235294118,0.897058823529412,0.75,0.764705882352941,4.44117647058824,2.22058823529412,0.985294117647059,0.573529411764706,2.11764705882353,0.705882352941177,0.829268292682927,1,0.00124507889767308,0.00316724830640195,0.00197605213013715,0.00207123421191569,0.00165317719993112,0.0403108808290155,0.0895151263986738,0.066543438077634,0.0682274247491639,0.0602258469259724,0.582089552238806,0.5,0.333333333333333,0.579470198675497,4.15384615384615,0.80952380952381,0.19047619047619,498.7,7.33382352941177
"Ersan Ilyasova","MIL",67,1231,453,94,208,302,52,32,20,48,172,381,167,74,61,160,58,0,1,0,0,18.3731343283582,6.76119402985075,0.776119402985075,1.40298507462687,3.1044776119403,4.50746268656716,0.477611940298507,0.298507462686567,0.716417910447761,5.6865671641791,2.49253731343284,1.1044776119403,0.91044776119403,2.38805970149254,0.865671641791045,0.817073170731707,1,0.00144992478315143,0.000762485703393061,0.00236812596548182,0.00211184664744345,0.00323747201653177,0.0467685319017138,0.0243445692883895,0.0740559097596861,0.0627261761158022,0.123359580052493,0.824324324324324,0.438320209973753,0.3625,0.514435695538058,1.08333333333333,0.688741721854305,0.311258278145695,364.9,5.44626865671642
"Joe Ingles","UTA",82,2568,994,35,295,330,469,98,20,193,180,802,359,123,87,483,189,0,1,0,0,31.3170731707317,12.1219512195122,5.71951219512195,0.426829268292683,3.59756097560976,4.02439024390244,1.19512195121951,0.24390243902439,2.35365853658537,9.78048780487805,4.3780487804878,1.5,1.0609756097561,5.89024390243902,2.30487804878049,1,1,0.00318151265883558,0.00687703451714127,0.00258768731327484,0.0029951671201722,0.00120544170828311,0.108503438489248,0.219878105954055,0.0868192580899763,0.098960080509896,0.0426829268292683,0.707317073170732,0.447630922693267,0.391304347826087,0.565461346633416,2.4300518134715,0.893939393939394,0.106060606060606,925.7,11.2890243902439
"Andre Ingram","LAL",4,15,0,1,1,2,0,1,0,1,0,6,0,0,0,3,0,0,0,1,0,3.75,0,0,0.25,0.25,0.5,0.25,0,0.25,1.5,0,0,0,0.75,0,0.0487804878048781,0,0,0,1.56829534137869e-05,1.01531088819397e-05,3.44411916652316e-05,0,0,0.000523560209424084,0.00033500837520938,0.00119760479041916,NA,0,0,0,0,0.5,0.5,-3.2,-0.8
"Brandon Ingram","LAL",52,1760,950,41,226,267,154,28,31,129,149,729,362,289,195,94,31,0,1,0,0,33.8461538461538,18.2692307692308,2.96153846153846,0.788461538461538,4.34615384615385,5.13461538461539,0.538461538461538,0.596153846153846,2.48076923076923,14.0192307692308,6.96153846153846,5.55769230769231,3.75,1.80769230769231,0.596153846153846,0.634146341463415,0,0.00304068111256922,0.00225813073697176,0.00209367428074055,0.00229460260731836,0.0014120888582745,0.103655210038189,0.0734732824427481,0.0698952879581152,0.0757118927973199,0.0491017964071856,0.674740484429066,0.496570644718793,0.329787234042553,0.517832647462277,1.1937984496124,0.846441947565543,0.153558052434457,624.7,12.0134615384615
"Kyrie Irving","BOS",67,2214,1596,71,264,335,464,103,34,172,167,1241,604,245,214,434,174,0,0,1,1,33.044776119403,23.8208955223881,6.92537313432836,1.05970149253731,3.94029850746269,5,1.53731343283582,0.507462686567164,2.56716417910448,18.5223880597015,9.01492537313433,3.65671641791045,3.19402985074627,6.47761194029851,2.59701492537313,0.817073170731707,1,0.00510834426911628,0.0068037185841227,0.0026268946968093,0.00268042074483207,0.00244532460823144,0.173177083333333,0.215313225058005,0.0917054475773337,0.0926640926640927,0.0883084577114428,0.873469387755102,0.486704270749396,0.400921658986175,0.556809024979855,2.69767441860465,0.788059701492537,0.211940298507463,1367.8,20.4149253731343
"Jonathan Isaac","ORL",75,1996,720,99,312,411,80,59,98,75,143,611,262,135,110,266,86,0,1,0,0,26.6133333333333,9.6,1.06666666666667,1.32,4.16,5.48,0.786666666666667,1.30666666666667,1,8.14666666666667,3.49333333333333,1.8,1.46666666666667,3.54666666666667,1.14666666666667,0.914634146341463,1,0.00230451621163141,0.00117305492829702,0.0032228469265332,0.00316776997116517,0.00340967797485793,0.0818181818181818,0.0381861575178998,0.110365198711063,0.107512060647829,0.12043795620438,0.814814814814815,0.428805237315876,0.323308270676692,0.499181669394435,1.06666666666667,0.759124087591241,0.240875912408759,635.8,8.47733333333333
"Wesley Iwundu","ORL",68,1233,339,37,147,184,73,28,22,44,123,274,113,103,84,79,29,0,1,0,0,18.1323529411765,4.98529411764706,1.07352941176471,0.544117647058823,2.16176470588235,2.70588235294118,0.411764705882353,0.323529411764706,0.647058823529412,4.02941176470588,1.66176470588235,1.51470588235294,1.23529411764706,1.16176470588235,0.426470588235294,0.829268292682927,1,0.00108504304964312,0.00107041262207103,0.00144283171406839,0.00149250700564513,0.00127432409161357,0.0385227272727273,0.0348448687350835,0.0494092373791622,0.0506547208821502,0.0450121654501217,0.815533980582524,0.412408759124088,0.367088607594937,0.465328467153285,1.65909090909091,0.798913043478261,0.201086956521739,267.7,3.93676470588235
"Demetrius Jackson","PHI",6,39,22,2,1,3,5,2,0,1,4,15,8,4,4,6,2,0,0,1,0,6.5,3.66666666666667,0.833333333333333,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0,0.166666666666667,2.5,1.33333333333333,0.666666666666667,0.666666666666667,1,0.333333333333333,0.0731707317073171,0,7.04157731331818e-05,7.33159330185636e-05,2.35244301206803e-05,1.01531088819397e-05,6.88823833304632e-05,0.0023292747485442,0.00226551880380607,0.000765892264488129,0.000330578512396694,0.00224215246636771,1,0.533333333333333,0.333333333333333,0.6,5,0.333333333333333,0.666666666666667,20.1,3.35
"Frank Jackson","NOP",61,1169,495,25,109,134,69,25,2,48,92,447,194,73,54,169,53,0,0,1,0,19.1639344262295,8.11475409836066,1.13114754098361,0.409836065573771,1.78688524590164,2.19672131147541,0.409836065573771,0.0327868852459016,0.786885245901639,7.32786885245902,3.18032786885246,1.19672131147541,0.885245901639344,2.77049180327869,0.868852459016393,0.74390243902439,1,0.00158435489549659,0.00101175987565618,0.00105075787872372,0.00110668886813142,0.00086102979163079,0.0522924149587999,0.0311371841155235,0.0345538937596699,0.0367126978780734,0.0275027502750275,0.73972602739726,0.434004474272931,0.313609467455621,0.493288590604027,1.4375,0.813432835820896,0.186567164179104,313.4,5.13770491803279
"Jaren Jackson","MEM",58,1515,798,73,199,272,64,52,82,98,220,589,298,197,151,142,51,0,1,0,0,26.1206896551724,13.7586206896552,1.10344827586207,1.25862068965517,3.43103448275862,4.68965517241379,0.896551724137931,1.41379310344828,1.68965517241379,10.1551724137931,5.13793103448276,3.39655172413793,2.60344827586207,2.44827586206897,0.879310344827586,0.707317073170732,1,0.00255417213455814,0.000938443942637614,0.00213288166427502,0.00202046866750599,0.00251420699156191,0.0939929328621908,0.032603158430973,0.0793928779918272,0.073621901590825,0.100968188105118,0.766497461928934,0.505942275042445,0.359154929577465,0.549235993208829,0.653061224489796,0.731617647058823,0.268382352941176,585.9,10.101724137931
"Josh Jackson","PHO",79,1988,910,66,281,347,183,74,56,173,209,841,347,213,143,225,73,0,0,1,0,25.1645569620253,11.5189873417722,2.31645569620253,0.835443037974684,3.55696202531646,4.39240506329114,0.936708860759494,0.708860759493671,2.18987341772152,10.6455696202532,4.39240506329114,2.69620253164557,1.81012658227848,2.84810126582278,0.924050632911392,0.963414634146341,1,0.00291265243414525,0.00268336314847943,0.00272099241729202,0.00285302359582504,0.00227311864990529,0.103233125354509,0.0935104752171691,0.104802174569616,0.109637143971908,0.0882352941176471,0.671361502347418,0.412604042806183,0.324444444444444,0.456004756242568,1.05780346820809,0.809798270893372,0.190201729106628,576.5,7.29746835443038
